PlayerId,PlayerName,Salary,PlayerPos,Default_Proj_Score,Proj_Mins,Team,Period,AwayTeam,HomeTeam,DateTime,Actual_Pts,Last_Sal,Proj_Score
1972,Mason Plumlee,5500,C,25.71,29.67,POR,2015-11-20,LAC,POR,2015-11-20 220000,34.50,5400,25.71
757,Robert Covington,5500,SF,22.43,25.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,17.10,5600,22.43
1998,Marcus Smart,5500,PG,22.66,29.33,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,15.40,5800,22.66
730,Julius Randle,5500,PF,23.15,28.33,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,34.90,5800,23.15
711,Tyson Chandler,5400,C,21.48,25.33,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,5.80,5500,21.48
1886,Roy Hibbert,5400,C,25.74,29.33,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,23.10,5400,25.74
1869,Alec Burks,5400,SG,27.49,32.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,22.00,5500,27.49
1850,Markieff Morris,5400,PF,30.91,32.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,17.00,5500,30.91
3878,Nikola Mirotic,5400,SF,17.09,23.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,38.50,5400,17.09
754,Jae Crowder,5200,SF,24.86,31.00,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,33.00,5100,24.86
685,Tony Parker,5200,PG,19.79,28.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,25.50,4900,19.79
2020,Will Barton,5200,SG,26.60,25.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,25.80,5000,26.60
1854,Evan Turner,5200,SF,18.71,21.67,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,28.50,5400,18.71
1962,Andrew Bogut,5200,C,25.23,23.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,17.80,5200,25.23
1881,Harrison Barnes,5100,SF,24.49,32.33,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,33.30,5100,24.49
1889,Amir Johnson,5100,C,23.97,26.33,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,19.40,5200,23.97
1193556,T.J. McConnell,5100,PG,25.29,31.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,23.40,5100,25.29
692,Chandler Parsons,5100,SF,14.56,19.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,12.40,5300,14.56
1851,Trey Burke,5000,PG,22.68,25.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,15.40,5100,22.68
2410,Marvin Williams,5000,PF,25.10,33.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,26.80,5200,25.10
