
1932,Tony Allen,4200,SG,29.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,14,16.60,4300,21.71
706,Danny Green,4200,SG,27.67,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,32,20.10,4200,17.03
1193478,Nikola Jokic,4100,C,16.33,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,17,14.30,3500,15.08
2012,Steven Adams,4100,C,22.00,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,21,15.60,4400,17.44
708,Devin Harris,4100,SG,22.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,17,8.70,4200,16.01
1877,J.J. Hickson,4100,PF,16.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,14,20.90,4400,14.58
2628,Gorgui Dieng,4100,C,18.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,19,14.80,3900,15.64
2027,Alex Len,4000,C,17.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,14,17.80,4000,13.41
726,Isaiah Canaan,4000,PG,18.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,20,14.40,4300,13.36
3877,T.J. Warren,4000,SF,21.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,11,3.00,4000,16.30
2018,Nik Stauskas,4000,SG,29.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,31,23.90,4100,18.13
1193524,Nemanja Bjelica,4000,SF,25.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,,,4400,18.55
10489,Gary Harris,4000,SG,28.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,28,21.40,3700,18.18
1924,Bojan Bogdanovic,3900,SF,31.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,16,8.20,4200,17.27
1940,Courtney Lee,3900,SG,28.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,31,14.30,4000,19.44
1831,Josh Smith,3900,PF,15.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,17,18.60,3900,15.22
709,Boris Diaw,3900,PF,19.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,24,14.80,4100,14.73
765,Patrick Mills,3900,PG,22.33,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,21,19.70,3600,19.22
3785,David West,3900,PF,14.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,11,9.40,4000,10.76
2349,Gerald Henderson,3800,SG,9.33,POR,2015-11-20,LAC,POR,2015-11-20 220000,25,12.70,4000,6.29
1193480,Stanley Johnson,3800,SF,24.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,24,17.90,3900,19.01
1991,Tyler Zeller,3800,C,4.33,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,9,12.30,3800,4.18
30842,Dante Cunningham,3800,PF,20.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,24,9.00,3500,11.94
18779,Kyle O'Quinn,3800,C,3.67,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,3,1.50,3800,4.08
2657,Kevin Seraphin,3800,PF,5.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,11,5.00,3600,4.43
710,Austin Rivers,3800,PG,22.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,22,14.70,3800,12.69
1968,Hollis Thompson,3800,SF,22.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,28,16.80,3700,14.39
3895,Allen Crabbe,3700,SG,22.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,21,5.50,3500,13.60
