PlayerId,PlayerName,Salary,PlayerPos,Default_Proj_Score,Proj_Mins,Team,Period,AwayTeam,HomeTeam,DateTime,Actual_Mins,Actual_Pts,Last_Sal,Proj_Score
723,Jason Terry,3500,PG,11.70,20.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,21,7.10,3500,11.70
2669,Spencer Dinwiddie,3500,PG,4.56,5.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,20,12.20,3700,4.56
1893,Andrea Bargnani,3500,C,9.30,12.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,14,8.90,3500,9.30
10095,Tyler Hansbrough,3500,PF,0.00,0.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,2,9.70,3500,0.00
750,Aron Baynes,3500,C,6.93,9.67,DET,2015-11-20,DET,MIN,2015-11-20 200000,18,24.70,3500,6.93
1952,Steve Blake,3500,PG,9.83,15.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,0,0.00,3500,9.83
721,Maurice Harkless,3500,SF,13.97,22.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,7,1.20,3500,13.97
748,Kyle Anderson,3500,SF,10.47,15.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,7,8.90,3500,10.47
2048,Alonzo Gee,3500,SF,9.74,21.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,17,7.20,3500,9.74
1193469,Justin Anderson,3500,SF,3.06,4.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,0,0.00,3500,3.06
2017,Lance Thomas,3500,SF,8.61,19.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,19,17.10,3500,8.61
747,Charlie Villanueva,3500,PF,4.76,5.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,2,0.00,3500,4.76
1862,Vince Carter,3500,SF,0.00,0.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,17,15.60,3500,0.00
3874,Ray McCallum,3500,PG,3.35,4.33,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,6,2.40,3500,3.35
19069,E'Twaun Moore,3500,PG,13.85,25.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,24,15.00,3500,13.85
2661,Louis Amundson,3500,PF,7.42,8.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,0,0.00,3500,7.42
1193567,Cliff Alexander,3500,PF,3.58,5.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,2,4.40,3500,3.58
